,FTR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,BbAvH,BbAvD,BbAvA
191,2,1.91,3.75,4.33,1.94,3.75,4.18,1.95,3.4,4.0,1.92,3.58,4.02
192,3,1.55,4.2,7.0,1.52,4.28,7.66,1.57,3.6,7.0,1.53,4.0,6.89
193,3,3.2,3.4,2.4,3.13,3.49,2.42,3.1,3.2,2.38,3.07,3.34,2.36
194,3,2.5,3.25,3.2,2.49,3.34,3.14,2.4,3.1,3.1,2.45,3.18,3.04
195,1,5.0,4.0,1.75,5.14,4.11,1.72,5.0,3.6,1.73,4.87,3.88,1.71
196,3,2.8,3.2,2.8,2.81,3.2,2.84,2.8,3.1,2.62,2.74,3.09,2.77
197,3,4.0,3.5,2.05,3.97,3.62,2.03,3.8,3.4,2.0,3.86,3.42,2.01
198,1,3.8,3.5,2.1,3.98,3.49,2.07,3.75,3.2,2.1,3.79,3.35,2.06
199,2,2.8,3.5,2.63,2.78,3.59,2.62,2.7,3.1,2.7,2.71,3.4,2.59
200,3,3.2,3.25,2.45,3.2,3.25,2.5,3.1,3.0,2.5,3.11,3.15,2.45
201,1,2.0,3.6,4.0,2.01,3.65,4.02,2.0,3.4,3.8,1.98,3.51,3.9
202,2,5.0,3.7,1.8,5.05,3.8,1.79,5.0,3.3,1.8,4.87,3.62,1.78
203,2,1.44,4.5,9.0,1.46,4.58,8.54,1.44,4.2,8.0,1.44,4.32,8.24
204,2,2.88,3.4,2.6,2.84,3.58,2.57,2.9,3.2,2.5,2.83,3.37,2.51
205,2,1.53,4.75,6.0,1.52,4.88,6.44,1.53,4.0,6.5,1.5,4.56,6.19
206,3,1.95,3.5,4.33,2.0,3.51,4.25,2.0,3.2,4.0,1.98,3.38,4.03
207,3,2.05,3.3,4.2,2.01,3.44,4.31,2.05,3.1,4.0,2.0,3.32,4.03
208,1,1.8,3.6,5.25,1.78,3.71,5.32,1.8,3.4,4.8,1.76,3.57,4.97
209,1,1.75,3.8,5.25,1.75,3.95,5.09,1.8,3.5,4.5,1.75,3.75,4.78
210,2,3.6,3.4,2.2,3.75,3.44,2.16,3.4,3.1,2.25,3.52,3.31,2.16
211,3,1.91,3.6,4.5,1.89,3.68,4.54,1.95,3.1,4.33,1.88,3.49,4.35
212,2,1.83,3.75,4.75,1.81,3.97,4.65,1.75,3.5,4.8,1.79,3.77,4.49
213,3,1.4,5.25,8.5,1.39,5.34,8.88,1.4,4.2,9.0,1.38,5.01,8.13
214,3,2.5,3.4,3.0,2.55,3.5,2.92,2.62,3.1,2.75,2.5,3.34,2.86
215,3,1.73,3.75,5.5,1.71,3.73,5.95,1.75,3.25,5.5,1.71,3.6,5.46
216,3,1.36,5.25,9.5,1.35,5.48,10.2,1.4,4.0,10.0,1.35,5.0,9.24
217,1,2.3,3.25,3.5,2.34,3.37,3.37,2.4,3.1,3.1,2.29,3.24,3.29
218,2,4.33,3.6,1.95,4.29,3.61,1.96,4.33,3.1,1.95,4.11,3.47,1.93
219,3,2.38,3.25,3.4,2.42,3.31,3.28,2.5,3.1,2.9,2.39,3.2,3.15
220,1,3.6,3.5,2.15,3.63,3.4,2.22,3.3,3.3,2.2,3.48,3.3,2.18
221,3,2.1,3.5,3.8,2.07,3.48,4.0,2.05,3.25,3.8,2.04,3.36,3.83
222,1,1.91,3.5,4.75,1.91,3.45,4.84,1.91,3.2,4.5,1.88,3.37,4.55
223,1,4.33,3.5,1.95,4.35,3.5,1.98,4.33,3.25,1.91,4.08,3.42,1.96
224,2,3.0,3.4,2.5,3.06,3.34,2.54,3.0,3.0,2.5,2.94,3.26,2.48
225,3,2.05,3.5,4.0,2.07,3.54,3.93,2.1,3.2,3.75,2.05,3.39,3.75
226,2,2.1,3.3,4.0,2.17,3.28,3.92,2.1,3.0,4.0,2.13,3.17,3.82
227,2,5.0,4.0,1.73,5.19,4.09,1.71,5.0,3.6,1.73,4.98,3.87,1.7
228,1,2.1,3.5,3.9,2.06,3.62,3.87,2.1,3.2,3.75,2.04,3.43,3.76
229,1,1.73,3.8,5.5,1.69,3.92,5.77,1.67,3.6,5.5,1.68,3.75,5.31
230,2,1.75,3.75,5.25,1.76,3.72,5.39,1.8,3.2,5.0,1.76,3.58,5.0
231,1,2.45,3.3,3.2,2.48,3.25,3.23,2.5,3.1,3.0,2.42,3.19,3.12
232,3,2.63,3.4,2.88,2.62,3.44,2.88,2.62,3.1,2.8,2.58,3.28,2.81
233,3,1.7,3.75,5.75,1.68,3.82,6.17,1.67,3.5,6.0,1.67,3.67,5.73
234,1,4.5,3.75,1.85,4.57,3.79,1.85,4.5,3.4,1.83,4.37,3.64,1.84
235,1,8.0,4.75,1.45,7.5,4.73,1.48,7.0,4.0,1.5,7.06,4.49,1.47
236,2,2.63,3.1,3.1,2.68,3.04,3.14,2.62,3.0,2.9,2.61,3.01,3.01
237,3,1.91,3.5,4.75,1.89,3.57,4.69,1.91,3.2,4.33,1.88,3.46,4.42
238,3,1.65,4.2,5.5,1.68,4.27,5.23,1.67,3.8,5.0,1.65,4.03,5.12
239,2,4.33,3.5,1.95,4.32,3.43,2.01,4.0,3.25,2.0,4.1,3.36,1.98
240,3,2.45,3.2,3.3,2.44,3.27,3.28,2.4,3.1,3.1,2.38,3.18,3.18
241,2,1.44,4.75,8.5,1.45,4.71,8.42,1.44,4.2,8.0,1.44,4.46,7.82
242,1,1.62,4.2,6.0,1.61,4.26,6.14,1.62,3.6,6.0,1.6,4.06,5.75
243,3,2.15,3.4,3.8,2.22,3.33,3.71,2.2,3.3,3.3,2.14,3.28,3.63
244,3,1.73,3.8,5.5,1.77,3.74,5.33,1.75,3.5,5.0,1.73,3.64,5.14
245,1,2.7,3.4,2.8,2.66,3.36,2.88,2.62,3.1,2.8,2.6,3.28,2.79
246,2,2.25,3.3,3.6,2.26,3.28,3.67,2.25,3.1,3.4,2.23,3.2,3.49
247,3,1.5,4.33,8.0,1.51,4.39,7.73,1.5,4.0,7.0,1.49,4.22,7.19
248,1,3.8,3.5,2.1,3.84,3.58,2.08,4.0,3.2,2.0,3.72,3.41,2.05
249,2,2.15,3.3,3.9,2.1,3.37,4.04,2.1,3.1,3.8,2.09,3.26,3.83
250,1,2.05,3.4,4.1,2.07,3.44,4.06,2.05,3.1,4.0,2.05,3.35,3.82
251,3,1.44,4.75,8.0,1.46,4.79,7.95,1.44,4.2,8.0,1.44,4.55,7.42
252,1,2.25,3.3,3.6,2.24,3.28,3.71,2.3,3.1,3.3,2.23,3.2,3.51
253,1,1.53,4.2,7.5,1.52,4.33,7.65,1.53,3.75,7.0,1.52,4.13,6.82
254,2,2.38,3.4,3.25,2.43,3.42,3.16,2.5,3.2,2.9,2.41,3.33,3.02
255,3,5.25,3.75,1.75,5.1,3.74,1.79,5.0,3.3,1.8,5.0,3.6,1.76
256,1,3.2,3.25,2.5,3.24,3.26,2.47,3.0,3.1,2.5,3.11,3.18,2.43
257,3,1.75,4.0,5.0,1.71,4.16,5.08,1.75,3.8,4.5,1.72,3.95,4.71
258,1,4.75,3.6,1.85,4.89,3.59,1.86,4.5,3.4,1.85,4.59,3.49,1.84
259,1,2.1,3.75,3.6,2.06,3.66,3.82,2.1,3.3,3.6,2.06,3.53,3.61
260,3,1.5,4.33,6.0,1.57,4.42,6.32,1.5,4.2,6.5,1.54,4.24,6.11
261,1,2.8,3.25,2.5,2.9,3.37,2.65,2.75,3.2,2.62,2.83,3.22,2.58
262,3,1.62,3.75,5.5,1.69,3.74,6.16,1.67,3.4,6.0,1.67,3.63,5.67
263,2,2.38,3.25,3.0,2.45,3.31,3.22,2.38,3.25,3.0,2.37,3.22,3.1
264,3,2.6,3.1,2.8,2.84,3.13,2.87,2.6,3.0,2.9,2.7,3.07,2.81
265,3,1.8,3.5,4.5,1.85,3.75,4.7,1.83,3.6,4.2,1.84,3.58,4.39
266,3,1.4,4.2,9.0,1.48,4.5,8.27,1.44,4.2,7.5,1.45,4.27,7.83
267,3,3.0,3.25,2.38,3.32,3.32,2.39,3.3,3.2,2.25,3.17,3.21,2.37
268,1,4.5,3.6,1.91,4.44,3.69,1.91,4.5,3.4,1.85,4.4,3.53,1.87
269,3,2.9,3.25,2.7,2.91,3.3,2.68,2.88,3.1,2.62,2.87,3.17,2.63
270,2,1.73,3.8,5.5,1.73,3.84,5.5,1.7,3.5,5.5,1.7,3.67,5.44
271,1,5.25,4.0,1.7,5.31,4.08,1.7,5.5,3.6,1.67,5.26,3.89,1.68
272,2,2.5,3.3,3.1,2.48,3.36,3.13,2.5,3.1,3.0,2.46,3.24,3.03
273,1,1.36,5.25,10.0,1.37,5.21,10.28,1.36,4.8,8.5,1.36,4.9,9.25
274,3,2.63,3.4,2.88,2.64,3.5,2.81,2.62,3.2,2.8,2.57,3.33,2.79
275,3,1.67,3.8,6.0,1.66,3.92,6.21,1.67,3.4,6.0,1.65,3.71,5.87
276,3,2.0,3.5,4.2,2.03,3.53,4.1,1.95,3.4,4.0,1.97,3.39,4.07
277,3,4.0,3.6,2.0,4.03,3.64,2.01,4.0,3.2,2.0,3.89,3.47,1.99
278,2,1.5,4.5,7.5,1.52,4.44,7.28,1.53,3.75,7.0,1.5,4.23,6.89
279,1,1.73,4.0,5.0,1.71,4.11,5.17,1.75,3.5,5.0,1.7,3.91,4.93
280,3,1.22,7.0,15.0,1.22,7.08,16.27,1.22,5.5,17.0,1.21,6.67,14.95
281,1,2.63,3.4,2.88,2.74,3.4,2.77,2.62,3.1,2.8,2.63,3.3,2.74
282,2,1.6,4.0,6.5,1.63,4.04,6.29,1.62,3.6,6.0,1.59,3.88,6.19
283,3,2.05,3.5,4.0,2.04,3.47,4.13,2.05,3.1,4.0,2.0,3.38,3.99
284,2,2.38,3.4,3.25,2.39,3.54,3.13,2.4,3.1,3.1,2.36,3.38,3.08
285,1,3.0,3.4,2.55,3.01,3.33,2.58,2.8,3.1,2.62,2.94,3.25,2.5
286,1,3.8,3.5,2.1,3.71,3.5,2.15,3.75,3.1,2.15,3.63,3.39,2.1
287,3,4.33,3.4,2.0,4.24,3.42,2.03,4.0,3.2,2.0,4.1,3.32,1.99
288,3,1.95,3.5,4.33,1.96,3.49,4.47,2.0,3.2,4.0,1.95,3.34,4.26
289,2,6.0,4.2,1.6,6.0,4.2,1.63,6.0,3.6,1.62,5.86,4.0,1.6
290,1,2.7,3.2,2.9,2.73,3.22,2.91,2.7,3.1,2.7,2.68,3.14,2.8
291,1,7.5,4.5,1.5,7.27,4.41,1.52,7.0,4.0,1.5,6.97,4.26,1.49
292,3,1.57,4.33,6.25,1.62,4.29,5.92,1.62,3.6,6.0,1.59,4.08,5.76
293,2,1.75,3.8,5.25,1.76,3.9,5.1,1.73,3.6,5.0,1.72,3.78,4.89
294,1,3.0,3.4,2.5,2.96,3.35,2.6,3.0,3.1,2.5,2.93,3.26,2.48
295,1,2.7,3.5,2.7,2.67,3.64,2.69,2.5,3.6,2.6,2.62,3.48,2.63
296,3,1.67,3.8,6.0,1.73,3.81,5.55,1.67,3.4,6.0,1.66,3.73,5.58
297,1,2.4,3.25,3.3,2.4,3.27,3.36,2.5,3.0,3.1,2.39,3.16,3.17
298,1,2.25,3.3,3.6,2.31,3.24,3.6,2.25,3.2,3.3,2.23,3.2,3.45
299,1,1.83,3.75,4.75,1.86,3.75,4.61,1.85,3.4,4.5,1.83,3.62,4.42
300,2,2.1,3.5,3.8,2.13,3.43,3.85,2.2,3.1,3.5,2.11,3.34,3.61
301,3,2.63,3.4,2.88,2.71,3.29,2.88,2.75,3.0,2.75,2.61,3.21,2.81
302,3,1.53,4.33,7.0,1.56,4.41,6.57,1.57,3.75,6.5,1.53,4.24,6.2
303,3,1.36,5.25,10.0,1.36,5.4,9.82,1.36,4.8,8.5,1.35,5.03,9.07
304,1,6.5,4.33,1.57,6.46,4.12,1.6,6.5,3.75,1.57,6.14,3.98,1.58
305,1,3.75,3.6,2.1,3.7,3.65,2.1,3.75,3.3,2.05,3.62,3.5,2.05
306,2,2.5,3.4,3.0,2.49,3.5,3.01,2.6,3.0,2.9,2.47,3.34,2.91
307,3,2.2,3.4,3.6,2.19,3.41,3.7,2.25,3.25,3.2,2.18,3.29,3.48
308,2,2.2,3.4,3.6,2.17,3.39,3.8,2.2,3.3,3.3,2.16,3.28,3.58
309,2,2.1,3.3,4.0,2.11,3.36,4.0,2.05,3.1,4.0,2.08,3.27,3.81
310,2,1.95,3.6,4.2,1.95,3.65,4.29,2.0,3.2,4.0,1.95,3.51,4.01
311,3,2.25,3.4,3.5,2.27,3.35,3.56,2.3,3.2,3.2,2.21,3.29,3.42
312,3,2.1,3.5,3.75,2.11,3.47,3.89,2.1,3.1,3.8,2.06,3.38,3.76
313,1,3.4,3.2,2.2,3.64,3.47,2.19,3.5,3.25,2.15,3.47,3.35,2.15
314,3,2.05,3.4,3.6,2.13,3.36,3.95,2.0,3.4,3.8,2.07,3.33,3.73
315,3,1.33,5.0,9.0,1.35,5.42,10.72,1.33,4.8,10.0,1.33,5.08,9.94
316,3,1.53,4.0,6.0,1.58,4.23,6.56,1.57,3.75,6.5,1.56,4.0,6.14
317,3,3.75,3.4,2.0,3.96,3.5,2.08,3.8,3.3,2.0,3.77,3.36,2.05
318,2,3.4,3.3,2.15,3.47,3.41,2.28,3.5,3.25,2.15,3.35,3.32,2.21
319,2,3.6,3.5,2.0,3.9,3.77,2.01,3.5,3.6,2.0,3.72,3.61,1.98
320,3,1.55,4.0,5.75,1.61,4.28,6.11,1.6,3.75,6.0,1.59,3.99,5.8
321,1,3.4,3.4,2.1,3.51,3.5,2.23,3.5,3.25,2.15,3.41,3.37,2.17
322,3,1.91,3.5,4.0,1.92,3.65,4.44,1.95,3.5,3.8,1.91,3.5,4.13
323,2,2.9,3.4,2.6,2.89,3.48,2.59,2.8,3.1,2.6,2.85,3.3,2.52
324,1,2.75,3.4,2.7,2.72,3.54,2.7,2.7,3.1,2.7,2.67,3.36,2.65
325,2,2.7,3.4,2.8,2.66,3.39,2.85,2.7,3.1,2.7,2.59,3.29,2.79
326,3,1.22,7.0,17.0,1.26,6.35,14.88,1.25,5.5,13.0,1.23,6.04,14.93
327,3,2.3,3.4,3.4,2.28,3.47,3.4,2.3,3.2,3.2,2.27,3.33,3.25
328,1,2.4,3.3,3.25,2.33,3.41,3.35,2.4,3.1,3.1,2.34,3.27,3.18
329,1,2.4,3.2,3.4,2.36,3.23,3.49,2.4,3.1,3.1,2.34,3.14,3.31
330,2,1.33,5.75,9.5,1.36,5.52,9.56,1.35,4.8,9.0,1.34,5.2,9.06
331,1,3.6,3.5,2.15,3.71,3.52,2.14,3.5,3.25,2.15,3.46,3.42,2.13
332,2,1.95,3.6,4.2,1.92,3.75,4.3,1.91,3.3,4.2,1.91,3.57,4.08
333,1,4.5,3.75,1.85,4.81,3.74,1.83,4.5,3.4,1.85,4.46,3.62,1.82
334,2,6.0,4.5,1.57,6.29,4.44,1.57,6.0,3.8,1.57,5.86,4.24,1.57
335,3,1.73,4.0,5.0,1.7,4.13,5.22,1.7,3.6,5.0,1.69,4.0,4.85
336,3,1.53,4.33,7.0,1.54,4.25,7.45,1.53,3.8,7.0,1.53,4.09,6.68
337,3,1.57,4.33,6.5,1.56,4.37,6.74,1.53,4.0,6.5,1.54,4.16,6.3
338,3,1.29,6.0,13.0,1.25,6.45,14.75,1.29,5.0,12.0,1.25,5.87,12.76
339,1,7.5,4.2,1.53,6.61,4.2,1.58,7.0,3.6,1.57,6.65,3.99,1.54
340,1,3.1,3.5,2.4,3.09,3.6,2.39,3.1,3.1,2.4,2.99,3.43,2.35
341,2,1.57,4.5,6.0,1.57,4.58,6.05,1.6,4.0,5.5,1.55,4.27,5.8
342,3,1.3,6.0,11.0,1.31,5.91,11.67,1.33,5.0,9.0,1.3,5.5,10.42
343,3,1.75,3.7,5.5,1.74,3.79,5.54,1.75,3.5,5.0,1.73,3.6,5.17
344,2,4.5,4.0,1.8,4.89,4.02,1.76,4.5,3.5,1.8,4.64,3.8,1.76
345,2,1.22,7.0,15.0,1.24,6.82,15.4,1.25,5.5,13.0,1.22,6.19,14.03
346,3,1.29,6.5,11.0,1.27,6.28,13.26,1.29,5.0,12.0,1.26,5.99,11.81
347,3,2.0,3.8,3.8,2.0,3.8,3.89,2.05,3.1,4.0,1.98,3.67,3.69
348,3,2.0,3.6,4.0,2.03,3.54,4.08,2.05,3.1,4.0,1.99,3.47,3.87
349,2,2.75,3.3,2.8,2.75,3.3,2.83,2.62,3.1,2.8,2.68,3.2,2.74
350,3,1.7,3.8,5.75,1.74,3.95,5.23,1.7,3.5,5.5,1.7,3.74,5.16
351,1,4.0,3.4,2.1,4.06,3.49,2.05,3.7,3.2,2.1,3.82,3.38,2.04
352,2,2.1,3.4,3.9,2.07,3.45,4.04,2.15,3.1,3.6,2.05,3.34,3.8
353,3,2.8,3.4,2.7,2.73,3.44,2.75,2.75,3.1,2.7,2.68,3.34,2.65
354,3,3.1,3.5,2.4,3.15,3.56,2.37,3.1,3.1,2.4,3.05,3.39,2.34
355,2,2.75,3.6,2.63,2.72,3.56,2.69,2.75,3.1,2.7,2.68,3.43,2.59
356,2,5.75,4.2,1.65,5.39,4.17,1.68,6.0,3.6,1.62,5.45,3.98,1.63
357,2,1.95,3.6,4.2,1.96,3.54,4.38,1.91,3.2,4.33,1.92,3.47,4.19
358,3,2.05,3.5,3.9,2.07,3.53,3.93,2.1,3.25,3.6,2.03,3.42,3.78
359,3,1.91,4.0,4.0,1.91,3.98,4.07,1.91,3.2,4.33,1.87,3.74,4.06
360,1,4.5,3.6,1.91,4.59,3.68,1.88,4.5,3.1,1.91,4.39,3.52,1.87
361,3,3.0,3.5,2.45,3.02,3.55,2.45,3.0,3.2,2.38,2.89,3.44,2.43
362,1,1.44,4.75,8.0,1.43,4.96,8.34,1.44,4.33,7.0,1.43,4.62,7.48
363,3,1.5,4.5,7.5,1.54,4.65,6.48,1.5,4.0,7.0,1.49,4.42,6.55
364,2,2.5,3.6,2.9,2.54,3.53,2.92,2.5,3.1,2.9,2.48,3.43,2.81
365,1,2.05,3.6,3.9,2.03,3.71,3.88,1.91,3.4,4.0,1.98,3.58,3.78
366,3,3.0,3.5,2.45,3.01,3.56,2.46,3.0,3.25,2.4,2.96,3.41,2.43
367,2,2.0,3.8,3.8,2.02,3.86,3.76,1.95,3.5,3.75,1.97,3.69,3.71
368,3,1.83,3.75,4.75,1.85,3.82,4.6,1.8,3.3,5.0,1.82,3.66,4.43
369,3,1.75,4.0,5.0,1.75,4.0,5.05,1.73,3.5,5.0,1.73,3.83,4.82
370,3,1.17,9.0,17.0,1.17,9.35,18.0,1.14,7.5,19.0,1.15,8.01,17.22
371,2,2.3,3.75,3.1,2.33,3.76,3.07,2.3,3.3,3.1,2.28,3.58,3.02
372,3,1.8,4.0,4.5,1.75,4.33,4.58,1.75,3.75,4.5,1.75,4.0,4.36
373,3,4.5,4.0,1.8,4.54,4.16,1.79,4.5,3.4,1.83,4.38,3.84,1.78
374,3,1.36,5.5,9.0,1.34,5.69,9.9,1.36,4.8,8.0,1.33,5.29,9.03
375,3,3.5,3.6,2.15,3.48,3.82,2.12,3.5,3.1,2.2,3.37,3.59,2.1
376,2,6.0,4.75,1.53,6.46,4.79,1.52,5.5,4.33,1.53,6.04,4.5,1.51
377,2,2.05,3.75,3.7,2.03,3.8,3.78,1.95,3.75,3.6,2.02,3.62,3.58
378,2,2.4,3.6,3.0,2.42,3.7,2.97,2.4,3.1,3.1,2.38,3.49,2.91
379,3,1.67,4.2,5.25,1.67,4.13,5.61,1.67,4.0,4.75,1.66,4.03,5.08
380,1,2.4,3.3,3.25,2.47,3.32,3.19,2.5,3.2,2.9,2.43,3.21,3.1
381,1,2.0,3.3,4.5,2.06,3.29,4.32,2.05,3.1,4.0,2.01,3.23,4.16
382,2,3.2,3.4,2.4,3.25,3.43,2.37,3.1,3.1,2.4,3.12,3.32,2.36
383,3,4.5,3.6,1.91,4.43,3.55,1.95,4.2,3.25,1.95,4.17,3.43,1.95
384,3,1.25,6.5,15.0,1.27,6.48,13.15,1.25,5.5,13.0,1.25,6.11,12.55
385,2,2.38,3.2,3.4,2.33,3.24,3.53,2.4,3.1,3.1,2.31,3.16,3.38
386,2,1.8,3.75,5.0,1.88,3.68,4.64,1.83,3.4,4.5,1.82,3.56,4.62
387,1,2.4,3.5,3.1,2.41,3.53,3.1,2.5,3.1,3.0,2.36,3.42,3.04
388,1,4.75,3.6,1.85,4.7,3.62,1.88,4.5,3.4,1.85,4.5,3.51,1.86
389,3,1.65,4.0,6.0,1.68,4.16,5.48,1.67,3.6,5.5,1.64,3.97,5.46
390,3,1.53,4.2,7.5,1.54,4.33,7.19,1.44,4.33,7.5,1.52,4.17,7.06
391,3,6.5,4.2,1.57,7.12,4.2,1.56,7.0,3.5,1.57,6.43,4.09,1.55
392,2,2.88,3.6,2.5,2.92,3.6,2.5,2.88,3.2,2.5,2.87,3.48,2.45
393,1,5.5,3.8,1.73,5.47,3.96,1.71,5.0,3.5,1.73,5.11,3.81,1.7
394,1,1.8,3.6,5.25,1.78,3.61,5.5,1.83,3.2,4.8,1.79,3.54,4.95
395,3,1.45,4.75,8.0,1.47,4.78,7.82,1.5,3.6,8.5,1.46,4.48,7.49
396,1,5.5,3.8,1.73,5.44,3.74,1.76,5.5,3.3,1.73,5.22,3.66,1.72
397,1,3.0,3.25,2.6,3.11,3.19,2.6,2.7,3.2,2.62,2.97,3.15,2.56
398,1,2.55,3.2,3.1,2.61,3.22,3.06,2.6,3.2,2.75,2.52,3.16,3.02
399,3,1.95,3.75,4.0,1.98,3.75,4.02,1.91,3.2,4.33,1.94,3.62,3.96
400,3,1.25,5.5,15.0,1.26,6.35,14.35,1.29,5.0,12.0,1.25,5.72,13.7
401,2,2.3,3.2,3.3,2.33,3.38,3.39,2.38,3.2,3.1,2.31,3.28,3.24
402,3,1.73,3.6,5.25,1.74,3.79,5.55,1.75,3.6,4.75,1.72,3.66,5.17
403,1,8.0,4.1,1.44,8.35,4.6,1.46,7.0,4.0,1.5,7.8,4.28,1.46
404,3,1.73,3.6,5.25,1.71,3.88,5.57,1.73,3.6,5.0,1.72,3.69,5.11
405,2,1.57,3.6,6.5,1.61,4.03,6.63,1.62,3.6,6.0,1.6,3.88,6.16
406,2,2.38,3.4,3.0,2.36,3.56,3.17,2.38,3.4,2.9,2.37,3.43,3.01
407,1,5.0,3.75,1.73,5.47,3.91,1.72,4.6,3.75,1.73,5.12,3.72,1.72
408,3,1.25,6.0,11.0,1.3,6.3,10.91,1.3,5.5,9.5,1.28,5.75,10.65
409,2,2.6,3.1,2.9,2.6,3.09,3.2,2.6,2.9,3.0,2.56,3.06,3.04
410,3,1.57,4.2,6.5,1.6,4.35,6.15,1.62,3.5,6.5,1.57,4.15,5.98
411,3,2.05,3.25,4.33,2.05,3.31,4.33,2.1,3.0,4.0,2.02,3.25,4.15
412,2,2.45,3.1,3.4,2.44,3.21,3.36,2.3,3.1,3.3,2.41,3.14,3.22
413,3,1.7,4.0,5.5,1.7,3.97,5.54,1.7,3.75,5.5,1.66,3.95,5.36
414,1,2.38,3.25,3.4,2.38,3.31,3.35,2.38,3.2,3.4,2.32,3.26,3.28
415,1,2.3,3.2,3.6,2.31,3.2,3.65,2.38,3.1,3.2,2.27,3.15,3.5
416,1,4.6,3.75,1.85,4.34,3.82,1.89,4.8,3.2,1.85,4.38,3.66,1.84
417,1,1.91,3.6,4.5,1.9,3.6,4.62,1.91,3.2,4.5,1.88,3.53,4.35
418,2,5.75,4.0,1.67,5.77,4.17,1.65,6.0,3.6,1.62,5.45,3.97,1.65
419,1,3.8,3.5,2.1,3.75,3.6,2.1,3.75,3.2,2.1,3.59,3.45,2.1
420,1,2.25,3.5,3.4,2.28,3.49,3.4,2.3,3.4,3.4,2.25,3.46,3.29
421,3,1.67,3.8,6.0,1.65,3.99,6.19,1.7,3.2,6.0,1.65,3.83,5.7
422,1,6.0,4.2,1.6,6.03,4.2,1.6,6.0,3.6,1.62,5.94,4.05,1.59
423,3,1.5,4.33,8.0,1.46,4.49,8.87,1.5,3.75,8.0,1.48,4.29,7.5
424,3,1.29,6.0,12.0,1.28,6.24,12.78,1.29,5.0,12.0,1.28,5.82,11.3
425,3,2.8,3.2,2.8,2.9,3.19,2.76,2.7,3.1,2.7,2.73,3.17,2.76
426,3,2.0,3.5,4.2,2.09,3.37,4.08,2.05,3.1,4.0,2.03,3.35,3.96
427,3,1.7,3.8,5.75,1.68,3.84,6.17,1.7,3.4,5.5,1.68,3.72,5.62
428,3,1.33,5.5,11.0,1.35,5.52,10.26,1.33,4.33,12.0,1.33,5.27,10.01
429,3,6.0,4.2,1.62,5.8,4.12,1.65,6.0,3.6,1.62,5.67,3.95,1.63
430,3,2.4,3.5,3.1,2.35,3.53,3.21,2.4,3.2,3.2,2.35,3.43,3.08
431,3,3.6,3.5,2.15,3.79,3.57,2.1,3.6,3.4,2.15,3.55,3.46,2.12
432,3,1.22,7.0,15.0,1.23,7.0,15.54,1.25,6.0,13.0,1.22,6.62,13.93
433,3,1.73,3.9,5.25,1.74,3.86,5.39,1.7,3.75,5.5,1.71,3.84,5.14
434,1,3.75,3.5,2.1,3.73,3.48,2.15,4.0,3.4,2.0,3.7,3.39,2.1
435,2,2.38,3.3,3.3,2.34,3.35,3.4,2.3,3.3,3.3,2.33,3.26,3.25
436,1,2.88,3.25,2.7,2.88,3.3,2.7,2.8,3.2,2.7,2.81,3.25,2.64
437,1,9.0,5.5,1.36,9.45,5.31,1.38,9.0,4.5,1.4,8.38,5.08,1.38
438,1,2.8,3.3,2.75,2.83,3.35,2.72,2.8,3.2,2.7,2.78,3.29,2.64
439,3,2.9,3.2,2.7,3.09,3.21,2.59,2.75,3.25,2.7,2.9,3.17,2.59
440,2,1.73,4.0,5.0,1.74,3.95,5.25,1.75,3.8,5.0,1.73,3.85,4.98
441,1,7.5,4.5,1.5,7.68,4.63,1.48,7.0,4.33,1.5,6.93,4.45,1.49
442,2,2.5,3.25,3.2,2.47,3.24,3.26,2.5,3.1,3.2,2.44,3.17,3.16
443,1,8.0,4.75,1.45,8.44,4.92,1.43,8.0,4.5,1.44,7.38,4.72,1.44
444,2,2.38,3.3,3.3,2.42,3.32,3.27,2.4,3.2,3.2,2.35,3.28,3.21
445,2,2.25,3.4,3.5,2.23,3.35,3.66,2.3,3.3,3.3,2.21,3.31,3.5
446,1,9.0,5.0,1.4,10.17,5.13,1.38,9.5,4.5,1.4,8.94,4.91,1.38
447,2,2.25,3.4,3.5,2.24,3.35,3.63,2.25,3.25,3.5,2.21,3.31,3.49
448,2,1.33,5.75,10.0,1.35,5.46,10.61,1.33,5.0,11.0,1.34,5.25,9.59
449,3,3.0,3.5,2.5,2.99,3.54,2.48,3.0,3.4,2.4,2.96,3.43,2.42
450,3,1.29,6.5,11.0,1.28,6.15,12.8,1.29,5.5,12.0,1.28,5.91,11.22
451,3,1.85,3.5,5.0,1.83,3.61,5.05,1.85,3.4,4.8,1.83,3.51,4.74
452,3,1.57,4.5,6.0,1.58,4.33,6.3,1.6,3.8,6.5,1.58,4.19,5.88
453,1,2.15,3.5,3.6,2.14,3.52,3.71,2.2,3.1,3.75,2.1,3.45,3.61
454,2,1.5,4.75,7.0,1.52,4.68,6.82,1.5,4.33,7.0,1.5,4.52,6.46
455,3,2.0,3.6,4.0,1.98,3.51,4.34,2.05,3.3,4.0,1.99,3.44,3.99
456,2,5.5,3.8,1.73,5.45,3.91,1.72,5.5,3.4,1.75,5.27,3.71,1.72
457,1,2.25,3.3,3.6,2.33,3.27,3.51,2.3,3.1,3.6,2.25,3.21,3.5
458,3,1.4,4.8,9.5,1.39,4.89,10.41,1.4,4.5,10.0,1.39,4.63,9.33
